observation_date,EA19LORSGPORGYSAM
2003-03-01,0.7260296549533400
2003-04-01,0.6254902371217360
2003-05-01,0.5587968946296830
2003-06-01,0.5370308847235210
2003-07-01,0.5636531383656260
2003-08-01,0.6391690947928770
2003-09-01,0.7622804251417490
2003-10-01,0.9274708281243170
2003-11-01,1.1270870131184501
2003-12-01,1.3503734869679400
2004-01-01,1.5799954272883301
2004-02-01,1.7952818455197599
2004-03-01,1.9774112634657000
2004-04-01,2.1119286085465401
2004-05-01,2.1884332267392499
2004-06-01,2.2031024333639300
2004-07-01,2.1653089908656300
2004-08-01,2.0893061938114998
2004-09-01,1.9895599123644101
2004-10-01,1.8787474203738901
2004-11-01,1.7677112536369699
2004-12-01,1.6661479833364601
2005-01-01,1.5833132618153001
2005-02-01,1.5277511434047899
2005-03-01,1.5069539098656199
2005-04-01,1.5234685024923700
2005-05-01,1.5771292203354199
2005-06-01,1.6645261978176999
2005-07-01,1.7759719305717501
2005-08-01,1.9012412399763301
2005-09-01,2.0338161692329901
2005-10-01,2.1743816076094298
2005-11-01,2.3264688238143099
2005-12-01,2.4916432336405698
2006-01-01,2.6639338669114401
2006-02-01,2.8336375922531900
2006-03-01,2.9900358023717102
2006-04-01,3.1251741393869801
2006-05-01,3.2345579810551000
2006-06-01,3.3192786657730800
2006-07-01,3.3897323393812302
2006-08-01,3.4571923735644301
2006-09-01,3.5261804826512302
2006-10-01,3.5869020669966898
2006-11-01,3.6234205120697904
2006-12-01,3.6222957452131799
2007-01-01,3.5827191451359801
2007-02-01,3.5109948925979300
2007-03-01,3.4154579604649098
2007-04-01,3.3069671430726899
2007-05-01,3.1947371247728502
2007-06-01,3.0835194928437302
2007-07-01,2.9710583508269699
2007-08-01,2.8527472690258699
2007-09-01,2.7262258415041298
2007-10-01,2.5964405841063001
2007-11-01,2.4688669816151201
2007-12-01,2.3431815355174201
2008-01-01,2.2058382779396899
2008-02-01,2.0370022369139602
2008-03-01,1.8213487895169200
2008-04-01,1.5502732103639700
2008-05-01,1.2175069040166999
2008-06-01,0.8137102897848690
2008-07-01,0.3252879161945320
2008-08-01,-0.2618831616044960
2008-09-01,-0.9532254482432680
2008-10-01,-1.7321280597957200
2008-11-01,-2.5634237929624799
2008-12-01,-3.3936083429873500
2009-01-01,-4.1471863063011298
2009-02-01,-4.7486320743456893
2009-03-01,-5.1418327481430701
2009-04-01,-5.3204204530003700
2009-05-01,-5.3001264560988401
2009-06-01,-5.1021064656921506
2009-07-01,-4.7444442839236496
2009-08-01,-4.2404286505610003
2009-09-01,-3.6021112912465600
2009-10-01,-2.8517627950278399
2009-11-01,-2.0200436523577001
2009-12-01,-1.1488874926590100
2010-01-01,-0.2988070878348100
2010-02-01,0.4670815988612660
2010-03-01,1.0965926951117200
2010-04-01,1.5753301543604299
2010-05-01,1.9109288514972800
2010-06-01,2.1256704723583502
2010-07-01,2.2527028558061901
2010-08-01,2.3270209740347600
2010-09-01,2.3770204781728999
2010-10-01,2.4198115663971400
2010-11-01,2.4604123221950300
2010-12-01,2.4916188886588202
2011-01-01,2.4942414890443501
2011-02-01,2.4478649471950300
2011-03-01,2.3386164907920501
2011-04-01,2.1785254347662701
2011-05-01,1.9876938790325800
2011-06-01,1.7814965834958101
2011-07-01,1.5600164043799800
2011-08-01,1.3156451326837000
2011-09-01,1.0415488637033501
2011-10-01,0.7414985770355450
2011-11-01,0.4261291332070790
2011-12-01,0.1110595928947060
2012-01-01,-0.1837386958794300
2012-02-01,-0.4384295134345370
2012-03-01,-0.6416668670458960
2012-04-01,-0.7971787488537840
2012-05-01,-0.9150549582440950
2012-06-01,-1.0055708241183801
2012-07-01,-1.0754539207292799
2012-08-01,-1.1279100835078399
2012-09-01,-1.1637841886611300
2012-10-01,-1.1836509643128901
2012-11-01,-1.1858975828811900
2012-12-01,-1.1656977897021099
2013-01-01,-1.1148347383380499
2013-02-01,-1.0270413469975299
2013-03-01,-0.8960834168692490
2013-04-01,-0.7304733464269880
2013-05-01,-0.5426016668836759
2013-06-01,-0.3425755473828320
2013-07-01,-0.1335007844113740
2013-08-01,0.0850059700099215
2013-09-01,0.3126492030709960
2013-10-01,0.5435584114070330
2013-11-01,0.7675371389538690
2013-12-01,0.9711191685347480
2014-01-01,1.1391098534806801
2014-02-01,1.2582861794167099
2014-03-01,1.3242091617955301
2014-04-01,1.3505375229715000
2014-05-01,1.3575856127160599
2014-06-01,1.3633655966783000
2014-07-01,1.3760096713583800
2014-08-01,1.3976207793352999
2014-09-01,1.4276210654124000
