YEAR_MONTH,inflation,residuals
2003-04-01,0.021,-0.0025977557996898007
2003-05-01,0.018000000000000002,-0.002715438347481825
2003-06-01,0.02,0.002166879104726148
2003-07-01,0.019,-0.0007546658634125028
2003-08-01,0.02,0.001206106620656823
2003-09-01,0.021,0.001245334136587499
2003-10-01,0.02,-0.0007154383474818268
2003-11-01,0.022000000000000002,0.0022453341365875
2003-12-01,0.02,-0.0016762108315511517
2004-01-01,0.018000000000000002,-0.0017546658634125002
2004-02-01,0.016,-0.0018331208952738522
2004-03-01,0.017,0.0010884240728647986
2004-04-01,0.021,0.004127651588795474
2004-05-01,0.025,0.004284561652518174
2004-06-01,0.024,-0.0005585282837591264
2004-07-01,0.023,-0.0005977557996898024
2004-08-01,0.024,0.0013630166843795269
2004-09-01,0.021,-0.0025977557996898007
2004-10-01,0.024,0.0032845616525181733
2004-11-01,0.022000000000000002,-0.0015977557996897998
2004-12-01,0.023,0.0013237891684488474
2005-01-01,0.019,-0.003636983315620474
2005-02-01,0.021,0.002206106620656824
2005-03-01,0.022000000000000002,0.001284561652518175
2005-04-01,0.021,-0.0006762108315511509
2005-05-01,0.02,-0.0007154383474818268
2005-06-01,0.02,0.0002453341365874981
2005-07-01,0.021,0.001245334136587499
2005-08-01,0.022000000000000002,0.001284561652518175
2005-09-01,0.026000000000000002,0.00432378916844885
2005-10-01,0.025,-0.0005193007678284504
2005-11-01,0.023,-0.0015585282837591273
2005-12-01,0.023,0.000363016684379526
2006-01-01,0.024,0.0013630166843795269
2006-02-01,0.024,0.0004022442003101985
2006-03-01,0.022000000000000002,-0.0015977557996897998
2006-04-01,0.024,0.0023237891684488483
2006-05-01,0.025,0.0014022442003101994
2006-06-01,0.025,0.0004414717162408745
2006-07-01,0.024,-0.0005585282837591264
2006-08-01,0.023,-0.0005977557996898024
2006-09-01,0.018000000000000002,-0.0046369833156204715
2006-10-01,0.016,-0.0018331208952738522
2006-11-01,0.018000000000000002,0.0020884240728647994
2006-12-01,0.019,0.001166879104726147
2007-01-01,0.018000000000000002,-0.0007938933793431753
2007-02-01,0.018000000000000002,0.0001668791047261496
2007-03-01,0.019,0.001166879104726147
2007-04-01,0.019,0.00020610662065682211
2007-05-01,0.019,0.00020610662065682211
2007-06-01,0.019,0.00020610662065682211
2007-07-01,0.018000000000000002,-0.0007938933793431753
2007-08-01,0.017,-0.0008331208952738513
2007-09-01,0.021,0.004127651588795474
2007-10-01,0.025,0.004284561652518174
2007-11-01,0.031,0.006441471716240873
2007-12-01,0.031,0.0006768368118249268
2008-01-01,0.032,0.0016768368118249277
2008-02-01,0.033,0.0017160643277556037
2008-03-01,0.036000000000000004,0.0037552918436862814
2008-04-01,0.033,-0.002127025608521696
2008-05-01,0.037000000000000005,0.004755291843686282
2008-06-01,0.039,0.0029122019074089706
2008-07-01,0.040999999999999995,0.0029906569392703225
2008-08-01,0.038,-0.0019308880288683161
2008-09-01,0.036000000000000004,-0.0010485705766603431
2008-10-01,0.032,-0.003127025608521697
2008-11-01,0.021,-0.010283935672244397
2008-12-01,0.016,-0.004715438347481827
2009-01-01,0.011000000000000001,-0.004911575927135202
2009-02-01,0.012,0.0008922864932114222
2009-03-01,0.006,-0.006068485990857903
2009-04-01,0.006,-0.0003038510864419551
2009-05-01,0.0,-0.006303851086441955
2009-06-01,-0.001,-0.0015392161820260066
2009-07-01,-0.006,-0.005578443697956682
2009-08-01,-0.002,0.003225418722389942
2009-09-01,-0.003,-0.0016176712138873573
2009-10-01,-0.001,0.0013431012701819677
2009-11-01,0.005,0.005421556302043318
2009-12-01,0.009000000000000001,0.0036569213976273707
2010-01-01,0.009000000000000001,-0.0001861685386499272
2010-02-01,0.008,-0.001186168538649928
2010-03-01,0.016,0.007774603945419397
2010-04-01,0.016,8.842407286479767e-05
2010-05-01,0.017,0.0010884240728647986
2010-06-01,0.015,-0.0018723484112045281
2010-07-01,0.017,0.002049196556934125
2010-08-01,0.016,-0.0008723484112045272
2010-09-01,0.019,0.003088424072864797
2010-10-01,0.019,0.00020610662065682211
2010-11-01,0.019,0.00020610662065682211
2010-12-01,0.022000000000000002,0.0032061066206568248
2011-01-01,0.023,0.0013237891684488474
2011-02-01,0.024,0.0013630166843795269
2011-03-01,0.027000000000000003,0.003402244200310201
2011-04-01,0.027999999999999997,0.0015199267481022204
